Occupation (SOC code),Employment(1),Hourly 10th percentile wage,Hourly median wage,Hourly 90th percentile wage,Annual 10th percentile wage(2),Annual 90th percentile wage(2),"Employment per 1,000 jobs"
Fire Inspectors and Investigators(332021),310,19.59,29.8,46.58,40750,96880,0.12
Bailiffs(333011),160,9.63,16.32,23.14,20020,48130,0.065
Correctional Officers and Jailers(333012),4120,12.55,16.58,23.58,26110,49040,1.612
Detectives and Criminal Investigators(333021),1680,17.39,24.23,63.68,36160,132460,0.657
Fish and Game Wardens(333031),80,13.55,20.45,30.05,28180,62500,0.03
Parking Enforcement Workers(333041),150,11.51,17.83,26.74,23950,55610,0.059
Police and Sheriff's Patrol Officers(333051),12840,15.85,21.31,28.51,32960,59310,5.027
Animal Control Workers(339011),200,11.47,14.52,20.63,23860,42920,0.076
Private Detectives and Investigators(339021),770,13.64,19.34,35.32,28370,73460,0.301
Security Guards(339032),19210,8.41,12.84,21.62,17490,44960,7.525
Crossing Guards(339091),470,8.29,11.41,17.49,17240,36370,0.184
"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers(339092)",2680,7.8,9.01,11.93,16220,24820,1.051
"Protective Service Workers, All Other(339099)",1050,8.38,16.54,31.2,17430,64900,0.412
Food Preparation and Serving Related Occupations(350000),238240,7.78,9.02,14.06,16190,29240,93.305
Chefs and Head Cooks(351011),2870,10.31,16.02,29.64,21440,61650,1.126
First-Line Supervisors of Food Preparation and Serving Workers(351012),15280,8.86,14.83,24.11,18430,50150,5.984
"Cooks, Fast Food(352011)",13920,7.76,8.81,11.41,16140,23730,5.453
"Cooks, Institution and Cafeteria(352012)",7830,8,10.17,15.48,16650,32190,3.066
"Cooks, Restaurant(352014)",19920,8.41,11.17,15.41,17490,32050,7.801
"Cooks, Short Order(352015)",4500,8.07,10.3,14.09,16790,29310,1.761
Food Preparation Workers(352021),17180,7.84,9.27,13.11,16300,27280,6.727
Bartenders(353011),7040,7.72,8.72,12.09,16070,25150,2.755
"Combined Food Preparation and Serving Workers, Including Fast Food(353021)",65430,7.71,8.73,11.44,16040,23790,25.624
"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop(353022)",7000,7.8,8.85,11.81,16220,24570,2.742
Waiters and Waitresses(353031),49890,7.73,8.74,11.89,16080,24740,19.54
"Food Servers, Nonrestaurant(353041)",2410,7.9,9.87,19.14,16430,39800,0.943
Dining Room and Cafeteria Attendants and Bartender Helpers(359011),5510,7.7,8.75,11.74,16010,24410,2.158
Dishwashers(359021),9670,7.78,8.86,11.28,16170,23460,3.788
"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop(359031)",7960,7.74,8.77,11.17,16110,23240,3.116
"Food Preparation and Serving Related Workers, All Other(359099)",1790,7.52,8.52,10.77,15650,22400,0.702
Building and Grounds Cleaning and Maintenance Occupations(370000),63900,8.27,11.5,18.77,17200,39040,25.026
First-Line Supervisors of Housekeeping and Janitorial Workers(371011),2380,10.98,17.03,24.85,22850,51680,0.931
"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers(371012)",2040,15.47,21.73,30.41,32170,63260,0.801
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners(372011)",29210,8.25,10.96,16.74,17150,34810,11.442
Maids and Housekeeping Cleaners(372012),11940,7.84,9.18,12.28,16310,25540,4.674
"Building Cleaning Workers, All Other(372019)",50,8.08,11.4,14.97,16800,31130,0.02
Pest Control Workers(372021),2510,11.15,15.2,22.79,23190,47400,0.983
Landscaping and Groundskeeping Workers(373011),14650,9.29,13.31,18.94,19320,39390,5.736
"Pesticide Handlers, Sprayers, and Applicators, Vegetation(373012)",500,12.48,16.36,22.04,25960,45840,0.196
Tree Trimmers and Pruners(373013),490,11.42,15.65,25.3,23750,52620,0.191
"Grounds Maintenance Workers, All Other(373019)",130,12.49,15.43,23.99,25990,49890,0.052
Personal Care and Service Occupations(390000),56090,8.02,10.34,18.85,16670,39200,21.967
Gaming Supervisors(391011),-,7.92,8.94,18.59,16480,38660,-
First-Line Supervisors of Personal Service Workers(391021),2030,10.48,17.84,35.9,21800,74680,0.795
Animal Trainers(392011),180,9.98,13.72,22.94,20770,47710,0.069
Nonfarm Animal Caretakers(392021),3250,8.22,11.19,18.61,17100,38700,1.274
Motion Picture Projectionists(393021),40,9.96,12.21,14.57,20720,30310,0.014
"Ushers, Lobby Attendants, and Ticket Takers(393031)",2450,7.79,8.86,11.67,16190,24270,0.958
Amusement and Recreation Attendants(393091),4590,7.79,8.89,11.79,16210,24520,1.799
Costume Attendants(393092),120,8.02,10.55,18.41,16680,38290,0.047
"Locker Room, Coatroom, and Dressing Room Attendants(393093)",120,9.03,11.3,14.75,18770,30690,0.047
"Entertainment Attendants and Related Workers, All Other(393099)",210,9.52,12.94,17.35,19800,36080,0.082
Embalmers(394011),90,10.41,24.38,29.65,21640,61670,0.036
Funeral Attendants(394021),570,8.8,11.91,21.49,18310,44690,0.221
"Morticians, Undertakers, and Funeral Directors(394031)",390,12.5,14.94,31.23,26010,64970,0.155
"Hairdressers, Hairstylists, and Cosmetologists(395012)",5850,8.39,11.68,22.17,17440,46120,2.289
"Makeup Artists, Theatrical and Performance(395091)",90,12.88,25.28,50.22,26790,104460,0.034
Manicurists and Pedicurists(395092),-,8.32,10.62,13.23,17310,27520,-
Shampooers(395093),540,7.99,10.05,11.83,16620,24610,0.21
Skincare Specialists(395094),980,8.49,15.62,22.7,17650,47220,0.383
Baggage Porters and Bellhops(396011),650,7.78,9.37,14.75,16180,30680,0.254
Concierges(396012),420,10.53,14.1,18.43,21900,38340,0.163
Tour Guides and Escorts(397011),260,8.86,13.97,23,18440,47830,0.1
Childcare Workers(399011),13050,7.95,9.5,14.04,16540,29200,5.109
Personal Care Aides(399021),11050,7.9,9.63,13.35,16430,27770,4.326
Fitness Trainers and Aerobics Instructors(399031),3010,10.12,20.33,31.74,21040,66010,1.18
Recreation Workers(399032),4320,8.12,11.02,19.09,16900,39710,1.69
Residential Advisors(399041),1170,9.18,12.15,19.3,19100,40150,0.456
"Personal Care and Service Workers, All Other(399099)",120,7.76,10.69,15.43,16150,32100,0.045
Sales and Related Occupations(410000),286430,8.22,13.13,39.56,17100,82290,112.177
First-Line Supervisors of Retail Sales Workers(411011),20930,10.42,18.3,31.17,21680,64830,8.197
First-Line Supervisors of Non-Retail Sales Workers(411012),4020,16.97,31.99,61.19,35290,127290,1.573
Cashiers(412011),59980,7.84,9.12,12.26,16310,25500,23.489
Counter and Rental Clerks(412021),6250,8.48,12.69,22.16,17640,46100,2.447
Parts Salespersons(412022),3480,8.93,14.31,28.46,18570,59190,1.362
Retail Salespersons(412031),85800,8,9.91,19.1,16630,39720,33.604
Advertising Sales Agents(413011),3600,16.03,28.83,93.42,33350,194320,1.41
Insurance Sales Agents(413021),7550,14.3,23.33,76.55,29740,159220,2.956
"Securities, Commodities, and Financial Services Sales Agents(413031)",5560,16.99,33.64,-,35330,-,2.179
Travel Agents(413041),1590,10.36,16.87,28.51,21540,59300,0.624
"Sales Representatives, Services, All Other(413099)",23430,11.59,24.27,56.78,24110,118100,9.175
"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products(414011)",8530,19.9,36.91,70.71,41380,147070,3.343
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products(414012)",40920,13.33,27,55.23,27730,114880,16.024
Demonstrators and Product Promoters(419011),1590,8.02,9.9,24.23,16690,50390,0.622
Real Estate Brokers(419021),350,26.27,41.8,77.66,54650,161520,0.138
Real Estate Sales Agents(419022),7260,8.99,17.9,37.02,18710,76990,2.844
Sales Engineers(419031),1850,18.11,41.8,76.05,37670,158180,0.726
Telemarketers(419041),3040,9.67,11.16,18.81,20120,39130,1.189
"Sales and Related Workers, All Other(419099)",700,12.08,20.12,36.12,25130,75130,0.275
Office and Administrative Support Occupations(430000),401220,9.77,16.45,28.78,20330,59860,157.134
First-Line Supervisors of Office and Administrative Support Workers(431011),26190,15.95,26.97,45.74,33170,95140,10.256
"Switchboard Operators, Including Answering Service(432011)",2360,9.9,13.39,18.31,20590,38090,0.924
Bill and Account Collectors(433011),9670,11.57,17.65,25.46,24070,52970,3.786
Billing and Posting Clerks(433021),7570,12.82,17.95,26.05,26660,54190,2.965
"Bookkeeping, Accounting, and Auditing Clerks(433031)",26670,11.74,18.95,29.16,24430,60660,10.444
Payroll and Timekeeping Clerks(433051),2850,15.05,22.22,31.15,31310,64790,1.117
Procurement Clerks(433061),570,13.76,20.55,28.13,28620,58520,0.224
Tellers(433071),6340,11.06,14.79,19.49,23010,40530,2.482
"Financial Clerks, All Other(433099)",380,9,19.93,29.98,18720,62360,0.149
Brokerage Clerks(434011),410,15.89,25.27,42.38,33060,88150,0.162
Correspondence Clerks(434021),40,16.77,22.51,28.55,34890,59390,0.015
"Court, Municipal, and License Clerks(434031)",1910,12.46,15.8,23.35,25910,48570,0.749
"Credit Authorizers, Checkers, and Clerks(434041)",280,12.02,16.91,29.74,24990,61870,0.109
Customer Service Representatives(434051),68230,10.01,16.07,27.96,20810,58160,26.721
"Eligibility Interviewers, Government Programs(434061)",2870,12.45,16.24,27.09,25890,56340,1.122
File Clerks(434071),1760,10,14.3,19.99,20790,41580,0.687
"Hotel, Motel, and Resort Desk Clerks(434081)",3380,8,10.09,13.33,16630,27720,1.325
"Interviewers, Except Eligibility and Loan(434111)",2750,9.7,14.01,22.52,20170,46850,1.078
"Library Assistants, Clerical(434121)",1070,8.03,10.86,17.15,16700,35660,0.418
Loan Interviewers and Clerks(434131),3020,9.63,17.6,24.98,20030,51950,1.184
New Accounts Clerks(434141),210,16.27,21.77,27.84,33850,57900,0.084
Order Clerks(434151),2180,9.55,15.72,24.88,19870,51750,0.855
"Human Resources Assistants, Except Payroll and Timekeeping(434161)",2230,11.54,18.62,29.64,24010,61640,0.873
Receptionists and Information Clerks(434171),16820,9.2,14.18,21.34,19140,44380,6.588
"Information and Record Clerks, All Other(434199)",3930,11.86,18.12,26.17,24660,54430,1.538
Cargo and Freight Agents(435011),3280,9.74,19.6,30.82,20260,64100,1.284
Couriers and Messengers(435021),1240,8.89,13.73,18.28,18490,38020,0.484
"Police, Fire, and Ambulance Dispatchers(435031)",1280,12.53,16.44,22.37,26060,46530,0.501
"Dispatchers, Except Police, Fire, and Ambulance(435032)",3280,10.98,16.99,28.58,22840,59440,1.285
"Meter Readers, Utilities(435041)",860,11.27,15.04,24.74,23440,51450,0.339
Postal Service Clerks(435051),1040,18.39,27.31,27.88,38240,57980,0.407
Postal Service Mail Carriers(435052),5370,16.07,28.21,31.19,33430,64870,2.102
"Postal Service Mail Sorters, Processors, and Processing Machine Operators(435053)",2350,15.63,27.3,27.55,32510,57300,0.92
"Production, Planning, and Expediting Clerks(435061)",6390,11.64,22.39,35.27,24200,73360,2.503
"Shipping, Receiving, and Traffic Clerks(435071)",13680,9.97,14.35,21.79,20750,45310,5.358
Stock Clerks and Order Fillers(435081),35260,8.25,11.29,18.26,17170,37980,13.808
"Weighers, Measurers, Checkers, and Samplers, Recordkeeping(435111)",770,9.23,13.24,18.72,19210,38940,0.3
Executive Secretaries and Executive Administrative Assistants(436011),12530,17.04,26.54,39.59,35440,82350,4.909
Legal Secretaries(436012),2830,14.11,20.83,36.81,29340,76560,1.107
Medical Secretaries(436013),6880,11.2,15.67,22.9,23290,47630,2.693
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive(436014)",34930,11.65,17.4,26.06,24230,54210,13.681
Computer Operators(439011),1420,9.85,16.79,29.7,20480,61780,0.556
Data Entry Keyers(439021),2480,10.48,15.02,21.52,21800,44770,0.971
Word Processors and Typists(439022),-,10.11,16.63,24.57,21030,51110,-
Desktop Publishers(439031),270,18.93,26.49,31.78,39360,66090,0.107
Insurance Claims and Policy Processing Clerks(439041),8470,13.21,18.25,33.57,27480,69820,3.317
"Mail Clerks and Mail Machine Operators, Except Postal Service(439051)",2340,8.53,12.85,18.54,17740,38560,0.915
"Office Clerks, General(439061)",46830,8.65,13.74,22.63,17980,47080,18.339
"Office Machine Operators, Except Computer(439071)",1280,9.98,15.25,22.61,20770,47020,0.501
Proofreaders and Copy Markers(439081),190,9.72,12.42,22.22,20210,46220,0.075
Statistical Assistants(439111),130,11.34,23.54,37.2,23590,77380,0.05
"Office and Administrative Support Workers, All Other(439199)",2560,10,16.54,29.66,20800,61690,1.001
"Farming, Fishing, and Forestry Occupations(450000)",1800,8.67,11.92,22.61,18020,47030,0.704
"First-Line Supervisors of Farming, Fishing, and Forestry Workers(451011)",110,12.74,21.43,31.68,26490,65900,0.044
Agricultural Equipment Operators(452091),40,10.13,15.37,18.4,21070,38260,0.018
"Farmworkers and Laborers, Crop, Nursery, and Greenhouse(452092)",610,8.19,11.31,18.51,17030,38510,0.238
"Farmworkers, Farm, Ranch, and Aquacultural Animals(452093)",90,12.57,14.4,23.3,26150,48460,0.034
"Agricultural Workers, All Other(452099)",50,12.99,19.15,45.3,27030,94230,0.021
Logging Equipment Operators(454022),160,8.46,13.39,19.55,17590,40660,0.063
Construction and Extraction Occupations(470000),81540,11.66,18.47,32.9,24250,68420,31.936
First-Line Supervisors of Construction Trades and Extraction Workers(471011),7760,19.84,29.47,44.68,41270,92940,3.039
Boilermakers(472011),-,18.84,32.33,39.19,39180,81510,-
Brickmasons and Blockmasons(472021),710,12.2,18.26,23.73,25370,49350,0.276
Carpenters(472031),11450,11.26,17.93,36.22,23410,75330,4.483
Carpet Installers(472041),590,12.47,17.65,23.7,25930,49300,0.23
Tile and Marble Setters(472044),290,10.57,18.38,24.74,21980,51460,0.112
Cement Masons and Concrete Finishers(472051),1810,12.42,15.95,22.64,25840,47100,0.71
Construction Laborers(472061),17270,9.74,14.83,27.66,20260,57530,6.763
"Paving, Surfacing, and Tamping Equipment Operators(472071)",630,12.48,15.17,19.85,25960,41290,0.245
Operating Engineers and Other Construction Equipment Operators(472073),5060,13.06,17.45,27.05,27170,56270,1.982
Drywall and Ceiling Tile Installers(472081),1300,14.85,20.24,24.76,30880,51510,0.508
Tapers(472082),-,10.7,17.91,38.01,22250,79070,-
Electricians(472111),10320,15.5,22.24,31.53,32240,65590,4.04
Glaziers(472121),700,14.95,22.07,35.86,31090,74580,0.273
"Insulation Workers, Floor, Ceiling, and Wall(472131)",710,12.48,15.67,25.16,25960,52330,0.277
"Insulation Workers, Mechanical(472132)",670,15.21,20.98,37.94,31640,78910,0.261
"Painters, Construction and Maintenance(472141)",1900,8.51,16.04,23.56,17690,49000,0.745
Pipelayers(472151),920,11.65,18.67,29.38,24230,61100,0.362
"Plumbers, Pipefitters, and Steamfitters(472152)",5700,14.7,22.1,30.74,30570,63930,2.232
Plasterers and Stucco Masons(472161),30,10.3,15.53,18.61,21420,38710,0.014
Reinforcing Iron and Rebar Workers(472171),70,14.16,17.76,29.96,29450,62320,0.026
Roofers(472181),1720,12.82,16.48,27.98,26660,58200,0.672
Sheet Metal Workers(472211),1730,10.49,17.19,31.8,21820,66140,0.678
Structural Iron and Steel Workers(472221),890,13.08,17.59,26.83,27210,55820,0.35
"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters(473011)",160,10.56,13.42,15.33,21960,31880,0.063
Helpers--Carpenters(473012),130,10.43,14.29,19.09,21700,39700,0.051
Helpers--Electricians(473013),2110,8.86,12.22,17.95,18440,37340,0.828
"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters(473015)",1290,10.4,14.33,22.12,21620,46010,0.503
Helpers--Roofers(473016),-,10.51,15.1,22.41,21850,46600,-
Construction and Building Inspectors(474011),1300,17.54,24.73,35.93,36480,74740,0.509
Elevator Installers and Repairers(474021),900,21.82,34.18,46.29,45390,96290,0.352
Fence Erectors(474031),-,12.22,16.95,24.28,25420,50510,-
Hazardous Materials Removal Workers(474041),470,13.04,19.43,26.23,27130,54560,0.185
Highway Maintenance Workers(474051),750,10.48,14.73,21.92,21800,45590,0.293
Rail-Track Laying and Maintenance Equipment Operators(474061),-,16.23,21.37,28.85,33760,60020,-
Septic Tank Servicers and Sewer Pipe Cleaners(474071),330,10.88,17.9,26.94,22630,56030,0.128
"Construction and Related Workers, All Other(474099)",-,10.35,13.18,16.69,21530,34710,-
"Earth Drillers, Except Oil and Gas(475021)",230,15.62,18.29,24.21,32490,50360,0.088
Continuous Mining Machine Operators(475041),-,15.53,18.79,24.58,32300,51130,-
Helpers--Extraction Workers(475081),-,8.91,11.99,20.63,18520,42910,-
"Installation, Maintenance, and Repair Occupations(490000)",98050,11.02,20.69,37.38,22930,77740,38.399
"First-Line Supervisors of Mechanics, Installers, and Repairers(491011)",8070,17.51,29.05,49.4,36420,102740,3.16
"Computer, Automated Teller, and Office Machine Repairers(492011)",1560,10.51,17.33,25.39,21860,52810,0.613
"Radio, Cellular, and Tower Equipment Installers and Repairers(492021)",380,18.71,28.18,37.15,38920,77270,0.149
"Telecommunications Equipment Installers and Repairers, Except Line Installers(492022)",6700,14.69,29.38,38.03,30560,79110,2.623
Avionics Technicians(492091),900,22.39,31.28,45.24,46570,94100,0.352
"Electric Motor, Power Tool, and Related Repairers(492092)",220,12.42,16.32,22.41,25840,46610,0.088
"Electrical and Electronics Installers and Repairers, Transportation Equipment(492093)",100,13.73,20.97,24.91,28550,51810,0.038
"Electrical and Electronics Repairers, Commercial and Industrial Equipment(492094)",800,12.41,24.89,37.9,25820,78820,0.313
"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay(492095)",410,26.11,35.35,48.19,54310,100230,0.16
"Electronic Equipment Installers and Repairers, Motor Vehicles(492096)",150,10.12,13.52,22.55,21040,46900,0.06
Electronic Home Entertainment Equipment Installers and Repairers(492097),610,11.17,19.93,26.17,23240,54430,0.24
Security and Fire Alarm Systems Installers(492098),1280,10.02,17.75,27.28,20830,56730,0.502
Aircraft Mechanics and Service Technicians(493011),5720,23.84,39.93,47.85,49590,99530,2.238
Automotive Body and Related Repairers(493021),2940,11.26,23,46.23,23420,96160,1.151
Automotive Service Technicians and Mechanics(493023),12610,9.24,17.45,30.87,19210,64210,4.94
Bus and Truck Mechanics and Diesel Engine Specialists(493031),4340,14.55,21.85,31.07,30270,64630,1.702
Farm Equipment Mechanics and Service Technicians(493041),130,14.94,21.37,29.1,31080,60530,0.051
"Mobile Heavy Equipment Mechanics, Except Engines(493042)",1330,15.04,22.07,31.47,31290,65470,0.523
Rail Car Repairers(493043),310,12.39,20.04,23.89,25770,49690,0.123
Motorcycle Mechanics(493052),150,8.65,21.38,29.51,18000,61390,0.06
Outdoor Power Equipment and Other Small Engine Mechanics(493053),150,13.79,19.15,29.86,28690,62100,0.059
Bicycle Repairers(493091),-,9.4,16.64,20.11,19550,41840,-
Tire Repairers and Changers(493093),1040,9.78,13.39,18.82,20330,39150,0.405
Mechanical Door Repairers(499011),370,16.13,21.78,29.36,33550,61080,0.144
"Control and Valve Installers and Repairers, Except Mechanical Door(499012)",830,15.36,20.74,30.49,31950,63420,0.323
"Heating, Air Conditioning, and Refrigeration Mechanics and Installers(499021)",5950,15.07,21.51,32.14,31340,66840,2.331
Home Appliance Repairers(499031),140,11.13,16.3,26.73,23160,55600,0.056
Industrial Machinery Mechanics(499041),4660,14.73,22.37,33.32,30650,69290,1.824
"Maintenance Workers, Machinery(499043)",1230,8.75,20.47,29.53,18200,61430,0.481
Millwrights(499044),720,15.8,25.15,30.5,32870,63450,0.281
Electrical Power-Line Installers and Repairers(499051),3910,11.52,22.44,36.75,23950,76440,1.53
Telecommunications Line Installers and Repairers(499052),1670,13.15,18.51,29.04,27360,60400,0.655
Camera and Photographic Equipment Repairers(499061),50,11.29,15.95,24.8,23480,51580,0.02
Medical Equipment Repairers(499062),690,14.12,26.75,43.21,29370,89870,0.27
Musical Instrument Repairers and Tuners(499063),-,8.34,12.69,18.66,17350,38810,-
"Precision Instrument and Equipment Repairers, All Other(499069)",-,10.04,24.27,32.73,20880,68080,-
"Maintenance and Repair Workers, General(499071)",22580,9.34,17.13,26.97,19430,56100,8.844
"Coin, Vending, and Amusement Machine Servicers and Repairers(499091)",620,10.64,14.93,21.4,22120,44520,0.244
Locksmiths and Safe Repairers(499094),-,10.28,20.93,29.19,21380,60700,-
"Helpers--Installation, Maintenance, and Repair Workers(499098)",1870,8.35,12.18,18.64,17360,38770,0.731
"Installation, Maintenance, and Repair Workers, All Other(499099)",1800,10.88,16.7,27.58,22620,57370,0.705
Production Occupations(510000),140310,9.07,14.64,25.74,18870,53550,54.952
First-Line Supervisors of Production and Operating Workers(511011),9920,16.09,26.69,40.3,33460,83820,3.887
"Coil Winders, Tapers, and Finishers(512021)",140,15.37,18.92,23.93,31960,49760,0.056
Electrical and Electronic Equipment Assemblers(512022),1950,8.98,14.06,24.33,18680,50620,0.765
Engine and Other Machine Assemblers(512031),170,13.61,21,28.19,28320,58640,0.066
Structural Metal Fabricators and Fitters(512041),680,11.67,17.22,24.67,24270,51310,0.268
Fiberglass Laminators and Fabricators(512091),-,12.3,13.92,16.99,25590,35330,-
Team Assemblers(512092),24420,8.93,12.89,18.7,18580,38900,9.562
"Assemblers and Fabricators, All Other(512099)",2040,8.85,13.01,21.8,18410,45350,0.8
Bakers(513011),3210,8.21,11.23,15.74,17070,32740,1.257
Butchers and Meat Cutters(513021),2410,10.05,13.68,18.63,20910,38760,0.945
"Meat, Poultry, and Fish Cutters and Trimmers(513022)",2330,8.2,9.98,13.86,17050,28840,0.914
Slaughterers and Meat Packers(513023),750,9.07,11.41,14.11,18860,29340,0.295
"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders(513091)",370,10.35,13.29,19.37,21520,40290,0.144
Food Batchmakers(513092),2120,8.25,11.16,22.33,17160,46450,0.831
Food Cooking Machine Operators and Tenders(513093),-,10.35,18.51,24.71,21530,51390,-
"Food Processing Workers, All Other(513099)",500,8.39,10.78,14.37,17450,29880,0.195
"Computer-Controlled Machine Tool Operators, Metal and Plastic(514011)",730,9.88,16.23,23.45,20550,48770,0.286
"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic(514012)",170,16.88,21.84,28.58,35110,59440,0.068
"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic(514021)",1580,10.18,16.88,23.9,21170,49700,0.617
"Forging Machine Setters, Operators, and Tenders, Metal and Plastic(514022)",-,10.69,15.84,22.97,22240,47780,-
"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic(514023)",470,11,17.12,24.53,22870,51030,0.183
"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic(514031)",2450,9.49,15.07,20.7,19740,43060,0.961
"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic(514032)",100,12.62,17.38,23.21,26250,48270,0.039
"Grinding/Lapping/Polishing/Buffing Machine Tool Setters, Operators, and Tenders, Metal and Pla(514033)",540,11.36,16.02,22.04,23630,45830,0.21
"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic(514034)",550,15.09,19.77,23.84,31380,49590,0.214
"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic(514035)",-,10.6,14.4,23.03,22050,47910,-
Machinists(514041),3460,12.85,18.41,34.54,26720,71840,1.354
"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic(514072)",2560,10.59,16.7,26.45,22020,55010,1.003
"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic(514081)",820,10.75,14.86,18.81,22360,39110,0.322
Tool and Die Makers(514111),490,12.44,21.47,32.21,25860,66990,0.193
"Welders, Cutters, Solderers, and Brazers(514121)",4550,11.36,17.08,23.86,23630,49630,1.781
"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders(514122)",370,11.09,16.82,28.38,23070,59020,0.144
"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic(514191)",-,12.09,15.17,28.33,25150,58920,-
"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic(514193)",230,12.73,16.62,22.65,26470,47110,0.092
"Tool Grinders, Filers, and Sharpeners(514194)",30,12.66,17.42,37.15,26340,77280,0.012
"Metal Workers and Plastic Workers, All Other(514199)",170,14.25,19,26.09,29630,54260,0.065
Prepress Technicians and Workers(515111),460,12.8,20.79,29.22,26610,60770,0.181
Printing Press Operators(515112),3820,10.5,17.56,25.27,21840,52560,1.498
Print Binding and Finishing Workers(515113),760,9.87,15.37,23.69,20540,49280,0.297
Laundry and Dry-Cleaning Workers(516011),4090,7.94,9.99,13.27,16520,27590,1.6
"Pressers, Textile, Garment, and Related Materials(516021)",660,8.24,10.41,12.02,17150,24990,0.257
Sewing Machine Operators(516031),2100,8.65,12.75,17.86,18000,37150,0.824
Shoe and Leather Workers and Repairers(516041),-,8.23,10.46,12.09,17120,25140,-
Shoe Machine Operators and Tenders(516042),40,9.77,13.84,21.66,20320,45050,0.016
"Tailors, Dressmakers, and Custom Sewers(516052)",180,9.32,16.99,24.5,19380,50970,0.07
Textile Bleaching and Dyeing Machine Operators and Tenders(516061),440,9.71,16.52,21.16,20190,44020,0.171
"Textile Cutting Machine Setters, Operators, and Tenders(516062)",230,8.83,12.74,17.97,18360,37390,0.091
"Textile Knitting and Weaving Machine Setters, Operators, and Tenders(516063)",630,12.6,16.49,19.33,26210,40200,0.247
"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders(516064)",1360,12.24,15.51,19.08,25460,39690,0.533
"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers(516091)",580,9.31,14.03,21.99,19370,45740,0.228
Upholsterers(516093),360,8.19,12.37,25.23,17040,52470,0.142
"Textile, Apparel, and Furnishings Workers, All Other(516099)",120,10.87,16.55,19.48,22620,40510,0.047
Cabinetmakers and Bench Carpenters(517011),1020,8.68,16.51,26.64,18060,55420,0.401
Furniture Finishers(517021),80,10.21,14.39,20.76,21240,43180,0.032
"Sawing Machine Setters, Operators, and Tenders, Wood(517041)",640,9.11,13.16,21.05,18950,43790,0.252
"Woodworking Machine Setters, Operators, and Tenders, Except Sawing(517042)",1410,9.02,13.04,19.24,18760,40020,0.552
Power Distributors and Dispatchers(518012),210,28.23,39.67,47.79,58710,99400,0.084
Power Plant Operators(518013),420,25.89,34.62,45.31,53860,94250,0.164
Stationary Engineers and Boiler Operators(518021),130,16.12,28.71,37.7,33530,78420,0.051
Water and Wastewater Treatment Plant and System Operators(518031),1130,13.44,19.31,29.14,27960,60620,0.443
Chemical Plant and System Operators(518091),500,19.47,32.2,41.18,40500,85640,0.196
Gas Plant Operators(518092),40,16.99,25.94,37.48,35330,77950,0.014
"Petroleum Pump System Operators, Refinery Operators, and Gaugers(518093)",220,20.27,27.97,41.11,42160,85500,0.085
"Plant and System Operators, All Other(518099)",120,13.45,17.14,26.29,27970,54670,0.048
Chemical Equipment Operators and Tenders(519011),920,12.92,19.32,28.03,26880,58300,0.359
"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Te(519012)",250,11.56,18.85,27.81,24040,57850,0.096
"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders(519021)",270,10.22,14.89,20.72,21250,43090,0.106
"Grinding and Polishing Workers, Hand(519022)",260,9.55,12.08,17.59,19860,36580,0.1
"Mixing and Blending Machine Setters, Operators, and Tenders(519023)",2320,12.32,17.18,24.59,25620,51150,0.907
"Cutters and Trimmers, Hand(519031)",130,10.09,16.55,34.5,20980,71760,0.052
"Cutting and Slicing Machine Setters, Operators, and Tenders(519032)",1200,10.25,14.29,21.99,21330,45740,0.468
"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders(519041)",1030,9.86,15.05,24.22,20510,50370,0.402
"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders(519051)",250,12.52,16.57,22.73,26040,47270,0.1
